,Database,Gene ID,Record Name,Amino Acids,Keywords,SimChrom
Q9NVU7,BioGRID,SDA1_HUMAN,Protein SDA1 homolog,687,3D-structure; Alternative splicing; Coiled coil; Nucleus; Phosphoprotein;Protein transport; Reference proteome; Ribosome biogenesis; Transport.,
P06241,BioGRID,FYN_HUMAN,Tyrosine-protein kinase Fyn,537,3D-structure; Adaptive immunity; Alternative splicing; ATP-binding;Cell membrane; Cytoplasm; Developmental protein; Host-virus interaction;Immunity; Kinase; Lipoprotein; Manganese; Membrane; Metal-binding;Myristate; Nucleotide-binding; Nucleus; Palmitate; Phosphoprotein;Proto-oncogene; Reference proteome; SH2 domain; SH3 domain; Transferase;Tyrosine-protein kinase.,
P27448,BioGRID,MARK3_HUMAN,MAP/microtubule affinity-regulating kinase 3,753,3D-structure; Alternative splicing; ATP-binding; Cell membrane;Cell projection; Cytoplasm; Disease variant; Kinase; Membrane;Nucleotide-binding; Phosphoprotein; Reference proteome;Serine/threonine-protein kinase; Transferase.,
P78362,BioGRID,SRPK2_HUMAN,SRSF protein kinase 2 C-terminal,688,3D-structure; Alternative splicing; ATP-binding; Chromosome; Cytoplasm;Differentiation; Kinase; mRNA processing; mRNA splicing;Nucleotide-binding; Nucleus; Phosphoprotein; Reference proteome;Serine/threonine-protein kinase; Transferase.,RNA processing
Q92616,BioGRID,GCN1_HUMAN,Stalled ribosome sensor GCN1 {ECO:0000305},2671,Acetylation; Activator; Coiled coil; Cytoplasm; Direct protein sequencing;Phosphoprotein; Reference proteome; Repeat; Stress response;Translation regulation.,
Q15020,BioGRID,SART3_HUMAN,Squamous cell carcinoma antigen recognized by T-cells 3 {ECO:0000305},963,3D-structure; Acetylation; Alternative splicing; Coiled coil; Cytoplasm;Direct protein sequencing; Methylation; mRNA processing; mRNA splicing;Nucleus; Phosphoprotein; Reference proteome; Repeat; RNA-binding.,RNA processing;DNA-templated transcription
Q9NW08,Gene Ontology,RPC2_HUMAN,DNA-directed RNA polymerase III subunit RPC2,1133,3D-structure; Alternative splicing; Antiviral defense;Charcot-Marie-Tooth disease; Cytoplasm; Disease variant;DNA-directed RNA polymerase; Immunity; Innate immunity; Leukodystrophy;Magnesium; Metal-binding; Neurodegeneration; Neuropathy;Nucleotidyltransferase; Nucleus; Reference proteome; Transcription;Transferase; Zinc; Zinc-finger.,RNA polymerases;DNA-templated transcription
P30101,BioGRID,PDIA3_HUMAN,Protein disulfide-isomerase A3,505,3D-structure; Acetylation; Adaptive immunity; Direct protein sequencing;Disulfide bond; Endoplasmic reticulum; Immunity; Isomerase; Methylation;Phosphoprotein; Redox-active center; Reference proteome; Repeat; Signal.,
P14678,BioGRID,RSMB_HUMAN,Small nuclear ribonucleoprotein-associated proteins B and B',240,3D-structure; Alternative splicing; Cytoplasm; Direct protein sequencing;Disease variant; Intellectual disability; Methylation; mRNA processing;mRNA splicing; Nucleus; Reference proteome; Repeat; Ribonucleoprotein;RNA-binding; Spliceosome.,
Q13619,BioGRID,CUL4A_HUMAN,Cullin-4A {ECO:0000305},759,3D-structure; Alternative splicing; Biological rhythms; DNA damage;DNA repair; Host-virus interaction; Isopeptide bond; Phosphoprotein;Reference proteome; Ubl conjugation; Ubl conjugation pathway.,
Q4LE39,Gene Ontology,ARI4B_HUMAN,AT-rich interactive domain-containing protein 4B,1312,3D-structure; Alternative splicing; Chromatin regulator; Coiled coil;Cytoplasm; DNA-binding; Isopeptide bond; Nucleus; Phosphoprotein;Reference proteome; Transcription; Transcription regulation;Ubl conjugation.,DNA-templated transcription
Q9Y448,BioGRID,SKAP_HUMAN,Small kinetochore-associated protein {ECO:0000303|PubMed:19667759},316,Alternative splicing; Cell cycle; Cell division; Centromere; Chromosome;Coiled coil; Cytoplasm; Cytoskeleton; Disease variant; Kinetochore;Microtubule; Mitosis; Nucleus; Phosphoprotein; Reference proteome.,Centromere-associated
Q13950,Gene Ontology,RUNX2_HUMAN,Runt-related transcription factor 2,521,3D-structure; Alternative splicing; Cytoplasm; Differentiation;Disease variant; DNA-binding; Dwarfism; Isopeptide bond; Methylation;Nucleus; Phosphoprotein; Reference proteome; Transcription;Transcription regulation; Ubl conjugation.,DNA-binding transcription factors
P29401,BioGRID,TKT_HUMAN,Transketolase,623,3D-structure; Acetylation; Alternative splicing; Calcium;Direct protein sequencing; Disease variant; Dwarfism; Isopeptide bond;Magnesium; Metal-binding; Phosphoprotein; Reference proteome;Thiamine pyrophosphate; Transferase; Ubl conjugation.,
P61247,BioGRID,RS3A_HUMAN,"Small ribosomal subunit protein eS1 {ECO:0000255|HAMAP-Rule:MF_03122, ECO:0000303|PubMed:24524803}",264,3D-structure; Acetylation; ADP-ribosylation; Cytoplasm; Differentiation;Direct protein sequencing; Isopeptide bond; Nucleus; Phosphoprotein;Reference proteome; Ribonucleoprotein; Ribosomal protein; Ubl conjugation.,Preribosome-associated
P49790,Gene Ontology,NU153_HUMAN,Nuclear pore complex protein Nup153,1475,3D-structure; Acetylation; Alternative splicing; Direct protein sequencing;DNA-binding; Glycoprotein; Host-virus interaction; Isopeptide bond;Membrane; Metal-binding; mRNA transport; Nuclear pore complex; Nucleus;Phosphoprotein; Protein transport; Reference proteome; Repeat;Translocation; Transport; Ubl conjugation;Viral penetration into host nucleus; Virus entry into host cell; Zinc;Zinc-finger.,
Q9NQ38,BioGRID,ISK5_HUMAN,Hemofiltrate peptide HF7665,1064,3D-structure; Alternative splicing; Cleavage on pair of basic residues;Direct protein sequencing; Disulfide bond; Hypotrichosis; Ichthyosis;Protease inhibitor; Reference proteome; Repeat; Secreted;Serine protease inhibitor; Signal.,
A6NHR9,Gene Ontology,SMHD1_HUMAN,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 {ECO:0000250|UniProtKB:Q6P5D8},2005,3D-structure; Acetylation; Alternative splicing; Chromatin regulator;Chromosome; Direct protein sequencing; Disease variant; DNA damage;DNA repair; DNA-binding; Hydrolase; Hypogonadotropic hypogonadism;Isopeptide bond; Kallmann syndrome; Microphthalmia; Phosphoprotein;Reference proteome; Ubl conjugation.,DNA repair;Telomere-associated;X-chromosome inactivation
Q92804,Gene Ontology,RBP56_HUMAN,TATA-binding protein-associated factor 2N,592,3D-structure; Acetylation; ADP-ribosylation; Alternative splicing;Chromosomal rearrangement; Cytoplasm; Direct protein sequencing;DNA-binding; Isopeptide bond; Metal-binding; Methylation; Nucleus;Phosphoprotein; Proto-oncogene; Reference proteome; Repeat; RNA-binding;Ubl conjugation; Zinc; Zinc-finger.,RNA processing
Q9BY43,BioGRID,CHM4A_HUMAN,Charged multivesicular body protein 4a,222,3D-structure; Alternative splicing; Coiled coil; Cytoplasmic vesicle;Endosome; Lipid-binding; Membrane; Phosphoprotein; Protein transport;Reference proteome; Transport.,Centromere-associated
Q9HCJ0,STRING,TNR6C_HUMAN,Trinucleotide repeat-containing gene 6C protein,1936,3D-structure; Alternative initiation; Alternative splicing; Coiled coil;Methylation; Phosphoprotein; Reference proteome; RNA-binding;RNA-mediated gene silencing; Translation regulation.,
Q03188,Gene Ontology,CENPC_HUMAN,Centromere protein C,943,3D-structure; Alternative splicing; Cell cycle; Cell division; Centromere;Chromosome; DNA-binding; Isopeptide bond; Kinetochore; Mitosis; Nucleus;Phosphoprotein; Reference proteome; Ubl conjugation.,Centromere-associated;Heterochromatin-associated
P38159,Gene Ontology,RBMX_HUMAN,"RNA-binding motif protein, X chromosome, N-terminally processed",391,3D-structure; Acetylation; Activator; Alternative splicing;Direct protein sequencing; Glycoprotein; Intellectual disability;Isopeptide bond; Methylation; mRNA processing; mRNA splicing; Nucleus;Phosphoprotein; Reference proteome; Repressor; Ribonucleoprotein;RNA-binding; Spliceosome; Transcription; Tumor suppressor; Ubl conjugation.,Euchromatin-associated;RNA processing;DNA-templated transcription
Q9NU22,BioGRID,MDN1_HUMAN,Midasin,5596,Acetylation; ATP-binding; Chaperone; Cytoplasm; Nucleotide-binding;Nucleus; Phosphoprotein; Reference proteome; Repeat.,Preribosome-associated
P05549,Gene Ontology,AP2A_HUMAN,Transcription factor AP-2-alpha,437,3D-structure; Activator; Alternative splicing; Direct protein sequencing;Disease variant; DNA-binding; Isopeptide bond; Nucleus; Phosphoprotein;Reference proteome; Transcription; Transcription regulation;Ubl conjugation.,DNA-binding transcription factors
Q99985,BioGRID,SEM3C_HUMAN,Semaphorin-3C,751,Alternative splicing; Developmental protein; Differentiation;Disulfide bond; Glycoprotein; Immunoglobulin domain; Neurogenesis;Reference proteome; Secreted; Signal.,
P19784,BioGRID,CSK22_HUMAN,Casein kinase II subunit alpha',350,3D-structure; Acetylation; Apoptosis; ATP-binding; Cell cycle; Cytoplasm;Kinase; Nucleotide-binding; Nucleus; Phosphoprotein; Reference proteome;Serine/threonine-protein kinase; Transcription; Transcription regulation;Transferase; Wnt signaling pathway.,DNA repair
P35716,Gene Ontology,SOX11_HUMAN,Transcription factor SOX-11,441,3D-structure; Activator; Developmental protein; Differentiation;Disease variant; DNA-binding; Intellectual disability; Neurogenesis;Nucleus; Phosphoprotein; Reference proteome; Transcription;Transcription regulation.,DNA-binding transcription factors;Other families with HMG-box domain
Q9Y285,BioGRID,SYFA_HUMAN,Phenylalanine--tRNA ligase alpha subunit,508,3D-structure; Acetylation; Alternative splicing; Aminoacyl-tRNA synthetase;ATP-binding; Cytoplasm; Direct protein sequencing; Disease variant; Ligase;Magnesium; Metal-binding; Nucleotide-binding; Phosphoprotein;Protein biosynthesis; Reference proteome.,
P20618,BioGRID,PSB1_HUMAN,Proteasome subunit beta type-1,241,3D-structure; Acetylation; Cytoplasm; Deafness; Direct protein sequencing;Glycoprotein; Host-virus interaction; Intellectual disability; Nucleus;Phosphoprotein; Proteasome; Reference proteome.,
P13385,STRING,TDGF1_HUMAN,Protein Cripto {ECO:0000305},188,Cell membrane; Direct protein sequencing; Disulfide bond; EGF-like domain;Glycoprotein; GPI-anchor; Growth factor; Lipoprotein; Membrane;Reference proteome; Secreted; Signal.,
Q86X55,Gene Ontology,CARM1_HUMAN,Histone-arginine methyltransferase CARM1,608,3D-structure; Acetylation; Alternative splicing; Chromatin regulator;Chromosome; Cytoplasm; Host-virus interaction; Isopeptide bond;Methylation; Methyltransferase; Nucleus; Phosphoprotein;Reference proteome; S-adenosyl-L-methionine; Transcription;Transcription regulation; Transferase; Ubl conjugation.,Histone PTM readers;Histone modification;Histone PTM writers;DNA replication
Q8WYP5,Gene Ontology,ELYS_HUMAN,Protein ELYS,2266,3D-structure; Alternative splicing; Cell cycle; Cell division; Centromere;Chromosome; Cytoplasm; DNA-binding; Kinetochore; mRNA transport;Nuclear pore complex; Nucleus; Phosphoprotein; Protein transport;Reference proteome; Translocation; Transport.,Centromere-associated
P42345,Gene Ontology,MTOR_HUMAN,Serine/threonine-protein kinase mTOR {ECO:0000305},2549,3D-structure; Acetylation; ATP-binding; Biological rhythms; Cytoplasm;Cytoplasmic vesicle; Disease variant; Endoplasmic reticulum; Epilepsy;Golgi apparatus; Intellectual disability; Kinase; Lysosome; Membrane;Microsome; Mitochondrion; Mitochondrion outer membrane; Nucleotide-binding;Nucleus; Phosphoprotein; Reference proteome; Repeat;Serine/threonine-protein kinase; TPR repeat; Transferase.,
Q9H6S0,BioGRID,YTDC2_HUMAN,3'-5' RNA helicase YTHDC2 {ECO:0000305},1430,3D-structure; ANK repeat; ATP-binding; Cytoplasm; Differentiation;Helicase; Hydrolase; Meiosis; Nucleotide-binding; Oogenesis;Phosphoprotein; Reference proteome; Repeat; RNA-binding; Spermatogenesis.,
Q9P2Q2,BioGRID,FRM4A_HUMAN,FERM domain-containing protein 4A,1039,Cell junction; Coiled coil; Cytoplasm; Cytoskeleton;Intellectual disability; Phosphoprotein; Reference proteome;Tight junction.,
Q9NTJ3,Gene Ontology,SMC4_HUMAN,Structural maintenance of chromosomes protein 4,1288,3D-structure; Acetylation; Alternative splicing; ATP-binding; Cell cycle;Cell division; Chromosome; Coiled coil; Cytoplasm; DNA condensation;Mitosis; Nucleotide-binding; Nucleus; Phosphoprotein; Reference proteome.,Centromere-associated;SMC complexes
Q9UBB9,BioGRID,TFP11_HUMAN,Tuftelin-interacting protein 11,837,Alternative splicing; Biomineralization; Cytoplasm; mRNA processing;mRNA splicing; Nucleus; Phosphoprotein; Reference proteome; Spliceosome.,Telomere-associated;RNA processing
O75928,Gene Ontology,PIAS2_HUMAN,E3 SUMO-protein ligase PIAS2,621,3D-structure; Alternative splicing; DNA-binding; Isopeptide bond;Metal-binding; Nucleus; Phosphoprotein; Reference proteome; Transcription;Transcription regulation; Transferase; Ubl conjugation;Ubl conjugation pathway; Zinc; Zinc-finger.,
P78559,BioGRID,MAP1A_HUMAN,MAP1 light chain LC2,2803,Alternative splicing; Cytoplasm; Cytoskeleton; Microtubule; Phosphoprotein;Reference proteome; Repeat.,
O75474,BioGRID,FRAT2_HUMAN,GSK-3-binding protein FRAT2,233,Reference proteome; Wnt signaling pathway.,
P00558,BioGRID,PGK1_HUMAN,Phosphoglycerate kinase 1,417,3D-structure; Acetylation; Alternative splicing; ATP-binding; Cytoplasm;Direct protein sequencing; Disease variant; Glycolysis;Hereditary hemolytic anemia; Hydroxylation; Kinase; Nucleotide-binding;Phosphoprotein; Reference proteome; Transferase.,
P08151,Gene Ontology,GLI1_HUMAN,Zinc finger protein GLI1,1106,3D-structure; Acetylation; Activator; Alternative splicing; Cytoplasm;Developmental protein; Differentiation; Disease variant; DNA-binding;Isopeptide bond; Metal-binding; Nucleus; Phosphoprotein; Proto-oncogene;Reference proteome; Repeat; Transcription; Transcription regulation;Ubl conjugation; Zinc; Zinc-finger.,DNA-binding transcription factors
Q9H0E9,BioGRID,BRD8_HUMAN,Bromodomain-containing protein 8,1235,Acetylation; Alternative splicing; Bromodomain; Chromatin regulator;Coiled coil; Direct protein sequencing; Growth regulation; Isopeptide bond;Nucleus; Phosphoprotein; Reference proteome; Repeat; Transcription;Transcription regulation; Ubl conjugation.,Chromatin remodelers
Q96RL1,Gene Ontology,UIMC1_HUMAN,BRCA1-A complex subunit RAP80,719,3D-structure; Alternative splicing; Chromatin regulator; DNA damage;DNA repair; Isopeptide bond; Metal-binding; Nucleus; Phosphoprotein;Reference proteome; Repeat; Transcription; Transcription regulation;Ubl conjugation; Zinc; Zinc-finger.,Histone PTM readers;DNA repair
O14746,Gene Ontology,TERT_HUMAN,Telomerase reverse transcriptase,1132,3D-structure; Alternative splicing; Chromosome; Cytoplasm; Disease variant;DNA-binding; Dyskeratosis congenita; Magnesium; Metal-binding;Nucleotidyltransferase; Nucleus; Phosphoprotein; Reference proteome;Ribonucleoprotein; RNA-directed DNA polymerase; Telomere; Transferase;Ubl conjugation.,Telomere-associated;DNA-modifying enzymes
Q15796,Gene Ontology,SMAD2_HUMAN,Mothers against decapentaplegic homolog 2,467,3D-structure; Acetylation; Alternative splicing; Cytoplasm;Direct protein sequencing; Disease variant; DNA-binding; Heterotaxy;Metal-binding; Nucleus; Phosphoprotein; Reference proteome; Transcription;Transcription regulation; Ubl conjugation; Zinc.,Regulation of transcription;DNA-binding transcription factors
Q9Y467,BioGRID,SALL2_HUMAN,Sal-like protein 2,1007,Alternative splicing; DNA-binding; Isopeptide bond; Metal-binding; Nucleus;Phosphoprotein; Reference proteome; Repeat; Transcription;Transcription regulation; Ubl conjugation; Zinc; Zinc-finger.,DNA-binding transcription factors
Q9HAJ7,Gene Ontology,SP30L_HUMAN,Histone deacetylase complex subunit SAP30L,183,3D-structure; Acetylation; Alternative splicing; Disulfide bond;DNA-binding; Isopeptide bond; Lipid-binding; Metal-binding; Nucleus;Phosphoprotein; Reference proteome; Repressor; Transcription;Transcription regulation; Ubl conjugation; Zinc; Zinc-finger.,
Q8IVL0,BioGRID,NAV3_HUMAN,Neuron navigator 3,2385,Alternative splicing; Chromosomal rearrangement; Coiled coil; Membrane;Nucleus; Phosphoprotein; Reference proteome.,
Q13214,BioGRID,SEM3B_HUMAN,Semaphorin-3B,749,Alternative splicing; Disulfide bond; Endoplasmic reticulum; Glycoprotein;Immunoglobulin domain; Reference proteome; Secreted; Signal.,
O60673,Gene Ontology,REV3L_HUMAN,DNA polymerase zeta catalytic subunit,3130,3D-structure; 4Fe-4S; Alternative splicing; DNA damage; DNA repair;DNA replication; DNA-binding; DNA-directed DNA polymerase; Iron;Iron-sulfur; Metal-binding; Nucleotidyltransferase; Nucleus;Phosphoprotein; Reference proteome; Transferase; Zinc; Zinc-finger.,DNA replication;DNA repair;DNA-modifying enzymes
Q15021,BioGRID,CND1_HUMAN,Condensin complex subunit 1,1401,Cell cycle; Cell division; Chromosome; Cytoplasm;Direct protein sequencing; Disease variant; DNA condensation; Mitosis;Nucleus; Phosphoprotein; Primary microcephaly; Reference proteome.,Centromere-associated;SMC complexes
P18583,Gene Ontology,SON_HUMAN,Protein SON,2426,3D-structure; Acetylation; Alternative splicing; Cell cycle;Disease variant; DNA-binding; Intellectual disability; Isopeptide bond;Methylation; mRNA processing; mRNA splicing; Nucleus; Phosphoprotein;Reference proteome; Repeat; RNA-binding; Ubl conjugation.,RNA processing
Q6VAB6,BioGRID,KSR2_HUMAN,Kinase suppressor of Ras 2 {ECO:0000305},950,3D-structure; Alternative splicing; ATP-binding; Cytoplasm; Kinase;Membrane; Metal-binding; Nucleotide-binding; Phosphoprotein;Reference proteome; Serine/threonine-protein kinase; Transferase; Zinc;Zinc-finger.,
P08047,Gene Ontology,SP1_HUMAN,Transcription factor Sp1,785,3D-structure; Acetylation; Activator; Alternative splicing;Biological rhythms; Cytoplasm; Direct protein sequencing; DNA-binding;Glycoprotein; Host-virus interaction; Isopeptide bond; Metal-binding;Nucleus; Phosphoprotein; Reference proteome; Repeat; Repressor;Transcription; Transcription regulation; Ubl conjugation; Zinc;Zinc-finger.,Euchromatin-associated;DNA-binding transcription factors
P0C7T5,BioGRID,ATX1L_HUMAN,Ataxin-1-like,689,Cell projection; DNA-binding; Nucleus; Phosphoprotein; Reference proteome;Repressor; Transcription; Transcription regulation.,DNA-templated transcription
O75635,BioGRID,SPB7_HUMAN,Serpin B7,380,Alternative splicing; Cytoplasm; Palmoplantar keratoderma; Phosphoprotein;Protease inhibitor; Reference proteome; Serine protease inhibitor.,
Q99816,Gene Ontology,TS101_HUMAN,Tumor susceptibility gene 101 protein,390,3D-structure; Acetylation; Alternative splicing; Cell cycle; Cell division;Coiled coil; Cytoplasm; Cytoskeleton; Endosome; Growth regulation;Host-virus interaction; Membrane; Nucleus; Phosphoprotein;Protein transport; Reference proteome; Transport; Ubl conjugation.,
Q07020,BioGRID,RL18_HUMAN,Large ribosomal subunit protein eL18 {ECO:0000303|PubMed:24524803},188,3D-structure; Alternative splicing; Cytoplasm; Diamond-Blackfan anemia;Direct protein sequencing; Disease variant; Endoplasmic reticulum;Isopeptide bond; Phosphoprotein; Reference proteome; Ribonucleoprotein;Ribosomal protein; Ubl conjugation.,
Q15058,BioGRID,KIF14_HUMAN,Kinesin-like protein KIF14 {ECO:0000305},1648,ATP-binding; Ciliopathy; Coiled coil; Cytoplasm; Cytoskeleton;Disease variant; Meckel syndrome; Microtubule; Motor protein;Nucleotide-binding; Nucleus; Phosphoprotein; Primary microcephaly;Reference proteome.,
P78371,BioGRID,TCPB_HUMAN,T-complex protein 1 subunit beta,535,3D-structure; Acetylation; Alternative splicing; ATP-binding; Chaperone;Cytoplasm; Direct protein sequencing; Isopeptide bond; Nucleotide-binding;Phosphoprotein; Reference proteome; Ubl conjugation.,
Q15024,BioGRID,EXOS7_HUMAN,Exosome complex component RRP42,291,3D-structure; Acetylation; Cytoplasm; Direct protein sequencing; Exosome;Nucleus; Phosphoprotein; Reference proteome; RNA-binding; rRNA processing.,RNA processing
Q9Y6Y1,Gene Ontology,CMTA1_HUMAN,Calmodulin-binding transcription activator 1 {ECO:0000312|HGNC:HGNC:18806},1673,3D-structure; Activator; Alternative splicing; ANK repeat; Cytoplasm;Intellectual disability; Nucleus; Reference proteome; Repeat;Transcription; Transcription regulation.,
Q61686,BioGRID,CBX5_MOUSE,Chromobox protein homolog 5,191,3D-structure; Acetylation; Centromere; Chromosome; Isopeptide bond;Nucleus; Phosphoprotein; Reference proteome; Repeat; Ubl conjugation.,
P20226,Gene Ontology,TBP_HUMAN,TATA-box-binding protein,339,3D-structure; Alternative splicing; Disease variant; DNA-binding;Host-virus interaction; Neurodegeneration; Nucleus; Reference proteome;Repeat; Spinocerebellar ataxia; Transcription; Transcription regulation;Triplet repeat expansion.,Euchromatin-associated;Regulation of transcription;General TFs;DNA-templated transcription
O15392,STRING,BIRC5_HUMAN,Baculoviral IAP repeat-containing protein 5,142,3D-structure; Acetylation; Alternative splicing; Apoptosis; Cell cycle;Cell division; Centromere; Chromosome; Chromosome partition; Cytoplasm;Cytoskeleton; Host-virus interaction; Kinetochore; Metal-binding;Microtubule; Mitosis; Nucleus; Phosphoprotein; Protease inhibitor;Reference proteome; Repressor; Thiol protease inhibitor; Transcription;Transcription regulation; Ubl conjugation; Zinc.,Centromere-associated
Q99594,Gene Ontology,TEAD3_HUMAN,Transcriptional enhancer factor TEF-5,435,3D-structure; Acetylation; Activator; DNA-binding; Nucleus; Phosphoprotein;Reference proteome; Transcription; Transcription regulation.,DNA-binding transcription factors
P52952,Gene Ontology,NKX25_HUMAN,Homeobox protein Nkx-2.5,324,3D-structure; Alternative splicing; Atrial septal defect;Congenital hypothyroidism; Developmental protein; Disease variant;DNA-binding; Homeobox; Nucleus; Reference proteome.,Regulation of transcription;DNA-binding transcription factors;DNA-templated transcription
Q15911,Gene Ontology,ZFHX3_HUMAN,Zinc finger homeobox protein 3,3703,3D-structure; Activator; Alternative splicing; Cytoplasm; DNA-binding;Homeobox; Isopeptide bond; Metal-binding; Myogenesis; Nucleus;Phosphoprotein; Reference proteome; Repeat; Repressor; Transcription;Transcription regulation; Ubl conjugation; Zinc; Zinc-finger.,DNA-binding transcription factors
Q12830,Gene Ontology,BPTF_HUMAN,Nucleosome-remodeling factor subunit BPTF,3046,3D-structure; Acetylation; Alternative splicing; Bromodomain;Chromatin regulator; Coiled coil; Cytoplasm; Disease variant;Intellectual disability; Isopeptide bond; Metal-binding; Methylation;Nucleus; Phosphoprotein; Reference proteome; Repeat; Transcription;Transcription regulation; Ubl conjugation; Zinc; Zinc-finger.,Histone PTM readers;Chromatin remodelers;DNA-modifying enzymes
P48060,BioGRID,GLIP1_HUMAN,Glioma pathogenesis-related protein 1,266,3D-structure; Alternative splicing; Membrane; Reference proteome; Signal;Transmembrane; Transmembrane helix.,
P20265,STRING,PO3F2_HUMAN,"POU domain, class 3, transcription factor 2",443,3D-structure; Activator; Alternative initiation; Differentiation;DNA-binding; Homeobox; Neurogenesis; Nucleus; Phosphoprotein;Reference proteome; Transcription; Transcription regulation.,DNA-binding transcription factors
Q13569,Gene Ontology,TDG_HUMAN,G/T mismatch-specific thymine DNA glycosylase,410,3D-structure; Activator; Chromatin regulator; Direct protein sequencing;DNA damage; DNA repair; Hydrolase; Isopeptide bond; Nucleus;Reference proteome; Transcription; Transcription regulation;Ubl conjugation.,DNA repair;DNA-modifying enzymes
Q6NSI4,Gene Ontology,RADX_HUMAN,RPA-related protein RADX {ECO:0000305},855,3D-structure; Alternative splicing; Chromosome; DNA-binding;Reference proteome.,
P28347,Gene Ontology,TEAD1_HUMAN,Transcriptional enhancer factor TEF-1,426,3D-structure; Acetylation; Activator; Alternative splicing;Direct protein sequencing; Disease variant; DNA-binding; Nucleus;Phosphoprotein; Reference proteome; Transcription;Transcription regulation.,Regulation of transcription;DNA-binding transcription factors
Q641Q2,BioGRID,WAC2A_HUMAN,WASH complex subunit 2A {ECO:0000312|HGNC:HGNC:23416},1341,Alternative splicing; Cell membrane; Endosome; Lipid-binding; Membrane;Phosphoprotein; Protein transport; Reference proteome; Transport.,
Q9UHL9,Gene Ontology,GT2D1_HUMAN,General transcription factor II-I repeat domain-containing protein 1,959,3D-structure; Alternative splicing; Developmental protein; DNA-binding;Isopeptide bond; Nucleus; Phosphoprotein; Reference proteome; Repeat;Transcription; Transcription regulation; Ubl conjugation;Williams-Beuren syndrome.,DNA-binding transcription factors;DNA-templated transcription
P61204,BioGRID,ARF3_HUMAN,ADP-ribosylation factor 3,181,3D-structure; Alternative splicing; Cytoplasm; ER-Golgi transport;Golgi apparatus; GTP-binding; Lipoprotein; Myristate; Nucleotide-binding;Protein transport; Reference proteome; Transport.,
Q7KZI7,BioGRID,MARK2_HUMAN,Serine/threonine-protein kinase MARK2,788,3D-structure; Alternative promoter usage; Alternative splicing;ATP-binding; Cell membrane; Cell projection; Cytoplasm; Cytoskeleton;Developmental protein; Differentiation; Kinase; Lipid-binding; Magnesium;Membrane; Metal-binding; Nucleotide-binding; Phosphoprotein;Reference proteome; Serine/threonine-protein kinase; Transferase;Wnt signaling pathway.,
Q8IYB8,Gene Ontology,SUV3_HUMAN,"ATP-dependent RNA helicase SUPV3L1, mitochondrial",786,3D-structure; Acetylation; ATP-binding; Helicase; Hydrolase; Mitochondrion;Mitochondrion nucleoid; Nucleotide-binding; Nucleus; Phosphoprotein;Reference proteome; Transit peptide.,RNA processing;DNA-modifying enzymes
Q15431,Gene Ontology,SYCP1_HUMAN,Synaptonemal complex protein 1 {ECO:0000303|PubMed:9119375},976,3D-structure; Cell cycle; Cell division; Centromere; Chromosome;Coiled coil; DNA-binding; Meiosis; Nucleus; Reference proteome.,Centromere-associated;DNA recombination
Q92945,Gene Ontology,FUBP2_HUMAN,Far upstream element-binding protein 2,711,3D-structure; Acetylation; Cytoplasm; Direct protein sequencing;DNA-binding; Isopeptide bond; Methylation; mRNA processing; mRNA splicing;mRNA transport; Nucleus; Phosphoprotein; Reference proteome; Repeat;RNA-binding; Transcription; Transcription regulation; Transport;Ubl conjugation.,RNA processing
O75175,BioGRID,CNOT3_HUMAN,CCR4-NOT transcription complex subunit 3 {ECO:0000305},753,3D-structure; Cytoplasm; Developmental protein; Disease variant;Intellectual disability; Nucleus; Phosphoprotein; Reference proteome;Repressor; RNA-mediated gene silencing; Transcription;Transcription regulation; Translation regulation.,
P42229,Gene Ontology,STA5A_HUMAN,Signal transducer and activator of transcription 5A,794,3D-structure; Activator; Alternative splicing; Cytoplasm; DNA-binding;Lactation; Nucleus; Phosphoprotein; Reference proteome; SH2 domain;Transcription; Transcription regulation; Ubl conjugation.,Regulation of transcription;DNA-binding transcription factors
Q9HCK1,BioGRID,ZDBF2_HUMAN,DBF4-type zinc finger-containing protein 2,2354,Coiled coil; Metal-binding; Phosphoprotein; Reference proteome; Zinc;Zinc-finger.,
P51532,Gene Ontology,SMCA4_HUMAN,Transcription activator BRG1,1647,3D-structure; Acetylation; Activator; Alternative splicing; ATP-binding;Bromodomain; Chromatin regulator; Disease variant; Helicase; Hydrolase;Intellectual disability; Isopeptide bond; Neurogenesis; Nucleotide-binding;Nucleus; Phosphoprotein; Reference proteome; Repressor; RNA-binding;Transcription; Transcription regulation; Ubl conjugation.,Histone PTM readers;Chromatin remodelers;Centromere-associated;DNA-modifying enzymes;DNA-templated transcription
Q9NWU1,BioGRID,OXSM_HUMAN,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial {ECO:0000305}",459,3D-structure; Acetylation; Acyltransferase; Alternative splicing;Fatty acid biosynthesis; Fatty acid metabolism; Lipid biosynthesis;Lipid metabolism; Mitochondrion; Reference proteome; Transferase;Transit peptide.,
Q9NVV9,Gene Ontology,THAP1_HUMAN,THAP domain-containing protein 1,213,3D-structure; Alternative splicing; Cell cycle; Coiled coil;Disease variant; DNA-binding; Dystonia; Metal-binding; Nucleus;Reference proteome; Transcription; Transcription regulation; Zinc;Zinc-finger.,DNA-binding transcription factors
